"Molecule ChEMBL ID	SMILES#RO5 Violations	label	pIC50	Molwt	LogP	HBA	HBD"
"CHEMBL4229221	COc1ccc2c(c1)OCCC(c1ccc(O)cc1)=C2c1ccc(/C=C/C(=O)O)cc1	1	1	7.638272163982407	414.4570000000001	5.240200000000004	4	2"
"CHEMBL4224834	O=C(/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1)N1CCN(Cc2ccccc2)CC1	2	1	7.130768280269023	560.6690000000002	6.630500000000008	4	1"
"CHEMBL195371	Oc1ccc2c(c1)sc1c3ccccc3n(Cc3ccc(OCCN4CCCCCC4)cc3)c21	1	1	7.744727494896693	470.63800000000043	7.017900000000007	5	1"
"CHEMBL264216	Oc1ccc2c(c1)sc1c3cc(O)ccc3n(Cc3ccc(OCCN4CCCCCC4)cc3)c21	1	1	8.476253533188435	486.63700000000046	6.723500000000007	6	2"
"CHEMBL372030	Cc1c(O)ccc2cc(-c3ccc(O)cc3)ccc12	0	1	6.549750891680639	250.297	4.226420000000002	2	2"
"CHEMBL362966	N#Cc1cc(-c2ccc(O)cc2)cc2ccc(O)c(Br)c12	0	1	6.8827287043442364	340.176	4.552180000000003	3	2"
"CHEMBL195280	N#Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)c(F)c12	0	1	6.505845405981558	297.26	4.0678800000000015	3	2"
"CHEMBL4439408	Oc1ccc2c(c1)OCCC1=C2C(c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21	1	1	10.67778070526608	489.54300000000023	5.204900000000005	6	2"
"CHEMBL361751	Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCCN3CCCC3)cc2)cc1	1	1	8.769551078621726	463.5990000000004	5.929600000000006	6	2"
"CHEMBL365484	OCCC1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1	2	1	8.136677139879545	507.65200000000027	5.538100000000008	7	3"
"CHEMBL4586663	O=C(c1ccccc1)c1sc2cc(O)ccc2c1Oc1ccc(OC2CN(CCCF)C2)cc1	1	1	9.15002808767115	477.5570000000003	6.052800000000005	6	1"
"CHEMBL4448178	Cc1ccccc1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(OC2CN(CCCF)C2)cc1	1	1	8.67778070526608	491.58400000000034	6.361220000000006	6	1"
"CHEMBL370282	Oc1ccc2c(c1)sc1c3cc(O)ccc3n(Cc3ccc(OCCN4CCOCC4)cc3)c21	1	1	8.0	474.5820000000004	5.179700000000006	7	2"
"CHEMBL188391	Oc1ccc(-c2nc3cc(O)ccc3o2)c(Cl)c1	0	1	6.856985199745905	261.664	3.5594	4	2"
"CHEMBL192587	COc1cc(O)cc2c1C(Br)=C(c1ccc(O)cc1)C2=O	0	1	6.698970004336019	347.16400000000004	3.565900000000001	4	2"
"CHEMBL178470	C[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1	1	1	8.853871964321762	459.58600000000024	5.983500000000006	5	2"
"CHEMBL179518	CCCN1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1	1	1	8.844663962534938	472.6100000000002	5.742500000000007	6	2"
"CHEMBL281499	Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1	0	1	8.366531544420411	326.39500000000004	4.688600000000004	2	2"
"CHEMBL381495	CCCCC12CCC(=O)C(C)=C1c1ccc(O)cc1C2	0	1	6.200659450546419	270.37200000000007	4.261300000000004	2	1"
"CHEMBL4642117	Oc1ccc(C(c2ccc(O)cc2)C(Br)(Br)Br)cc1	1	1	7.835647144215562	450.952	5.068200000000003	2	2"
